>1, dA[1.526,0.768] dB[0.943,0.858] g[18.519,19.388]
>2, dA[1.958,1.412] dB[9.675,0.838] g[16.216,16.039]
>3, dA[9.743,2.086] dB[5.644,0.708] g[13.847,14.381]
>4, dA[5.256,0.821] dB[1.286,0.707] g[15.440,17.985]
>5, dA[3.113,1.971] dB[2.532,0.678] g[12.297,15.266]
>6, dA[1.742,3.224] dB[2.266,0.744] g[14.147,15.302]
>7, dA[0.550,3.205] dB[1.887,1.420] g[11.813,13.297]
>8, dA[0.747,2.071] dB[0.909,0.857] g[11.493,12.639]
>9, dA[0.696,1.288] dB[0.323,0.568] g[10.887,12.440]
>10, dA[0.261,0.543] dB[0.311,0.483] g[10.399,11.888]
>11, dA[0.596,0.507] dB[0.177,0.335] g[7.766,9.239]
>12, dA[0.360,0.890] dB[0.118,0.299] g[8.945,11.247]
>13, dA[0.301,1.403] dB[0.134,0.207] g[8.043,10.956]
>14, dA[0.186,1.326] dB[0.136,0.139] g[6.539,8.597]
>15, dA[0.282,0.607] dB[0.229,0.238] g[8.603,9.857]
>16, dA[0.309,0.476] dB[0.163,0.182] g[7.185,9.311]
>17, dA[0.350,0.303] dB[0.101,0.166] g[5.490,6.873]
>18, dA[0.230,0.348] dB[0.178,0.132] g[5.907,6.791]
>19, dA[0.311,0.254] dB[0.112,0.186] g[6.546,8.296]
>20, dA[0.185,0.451] dB[0.405,0.181] g[8.594,10.025]
>21, dA[0.257,0.265] dB[0.150,0.257] g[8.628,10.453]
>22, dA[0.223,0.197] dB[0.139,0.177] g[7.607,9.234]
>23, dA[0.360,0.191] dB[0.165,0.239] g[9.338,10.589]
>24, dA[0.186,0.186] dB[0.214,0.135] g[6.791,7.700]
>25, dA[0.214,0.149] dB[0.155,0.282] g[5.979,7.624]
>26, dA[0.235,0.282] dB[0.166,0.211] g[4.744,5.740]
>27, dA[0.200,0.286] dB[0.220,0.204] g[5.572,7.005]
>28, dA[0.217,0.114] dB[0.207,0.187] g[8.313,10.917]
>29, dA[0.228,0.303] dB[0.210,0.203] g[7.134,9.169]
>30, dA[0.174,0.194] dB[0.124,0.117] g[6.275,6.808]
>31, dA[0.196,0.148] dB[0.093,0.165] g[6.075,7.782]
>32, dA[0.130,0.239] dB[0.203,0.168] g[7.394,9.137]
>33, dA[0.185,0.234] dB[0.188,0.308] g[7.233,9.084]
>34, dA[0.181,0.423] dB[0.164,0.164] g[5.595,7.138]
>35, dA[0.091,0.561] dB[0.093,0.064] g[4.894,5.490]
>36, dA[0.249,0.864] dB[0.166,0.132] g[5.438,6.754]
>37, dA[0.289,0.468] dB[0.097,0.140] g[6.391,7.831]
>38, dA[0.261,0.245] dB[0.110,0.133] g[7.441,8.741]
>39, dA[0.230,0.091] dB[0.092,0.080] g[6.651,8.446]
>40, dA[0.258,0.144] dB[0.109,0.269] g[3.659,4.824]
>41, dA[0.086,0.104] dB[0.192,0.073] g[7.570,8.754]
>42, dA[0.102,0.097] dB[0.111,0.112] g[6.690,8.486]
>43, dA[0.135,0.165] dB[0.237,0.285] g[6.574,8.457]
>44, dA[0.283,0.141] dB[0.113,0.372] g[5.486,7.055]
>45, dA[0.106,0.084] dB[0.219,0.075] g[6.135,6.839]
>46, dA[0.238,0.137] dB[0.133,0.205] g[4.306,5.357]
>47, dA[0.154,0.170] dB[0.146,0.138] g[4.709,5.431]
>48, dA[0.104,0.086] dB[0.171,0.051] g[6.057,5.990]
>49, dA[0.174,0.093] dB[0.074,0.127] g[7.675,9.372]
>50, dA[0.340,0.162] dB[0.044,0.216] g[7.924,10.399]
>51, dA[0.230,0.189] dB[0.312,0.166] g[5.827,7.516]
>52, dA[0.109,0.101] dB[0.108,0.051] g[5.973,7.387]
>53, dA[0.100,0.245] dB[0.347,0.299] g[6.279,6.250]
>54, dA[0.150,0.080] dB[0.118,0.380] g[7.329,9.967]
>55, dA[0.248,0.127] dB[0.167,0.124] g[6.944,8.190]
>56, dA[0.158,0.112] dB[0.082,0.057] g[6.673,9.415]
>57, dA[0.191,0.177] dB[0.047,0.341] g[5.273,5.876]
>58, dA[0.156,0.068] dB[0.178,0.097] g[7.883,9.069]
>59, dA[0.088,0.157] dB[0.222,0.166] g[6.237,6.459]
>60, dA[0.186,0.108] dB[0.236,0.299] g[6.676,8.537]
>61, dA[0.140,0.038] dB[0.360,0.097] g[5.094,5.004]
>62, dA[0.057,0.180] dB[0.105,0.089] g[7.190,8.547]
>63, dA[0.079,0.075] dB[0.094,0.195] g[4.303,5.300]
>64, dA[0.103,0.112] dB[0.111,0.070] g[5.724,7.143]
>65, dA[0.129,0.083] dB[0.123,0.163] g[7.062,6.277]
>66, dA[0.343,0.167] dB[0.123,0.295] g[5.534,6.523]
>67, dA[0.225,0.208] dB[0.134,0.058] g[4.246,4.928]
>68, dA[0.149,0.095] dB[0.156,0.058] g[6.234,7.726]
>69, dA[0.158,0.065] dB[0.148,0.282] g[6.897,9.182]
>70, dA[0.177,0.401] dB[0.058,0.096] g[4.118,5.662]
>71, dA[0.200,0.193] dB[0.129,0.063] g[4.601,4.986]
>72, dA[0.160,0.114] dB[0.181,0.230] g[7.646,9.807]
>73, dA[0.276,0.054] dB[0.053,0.137] g[3.753,5.063]
>74, dA[0.154,0.117] dB[0.117,0.110] g[4.685,5.415]
>75, dA[0.138,0.091] dB[0.104,0.147] g[5.992,7.647]
>76, dA[0.119,0.187] dB[0.054,0.106] g[7.673,9.431]
>77, dA[0.125,0.087] dB[0.063,0.170] g[4.471,6.461]
>78, dA[0.072,0.178] dB[0.138,0.242] g[5.110,6.901]
>79, dA[0.196,0.192] dB[0.479,0.598] g[5.966,7.865]
>80, dA[0.166,0.075] dB[0.422,0.634] g[7.569,8.443]
>81, dA[0.154,0.062] dB[0.186,0.071] g[6.160,7.740]
>82, dA[0.104,0.233] dB[0.344,0.215] g[7.629,9.071]
>83, dA[0.118,0.230] dB[0.283,0.376] g[5.998,7.105]
>84, dA[0.159,0.165] dB[0.223,0.105] g[9.991,11.504]
>85, dA[0.133,0.061] dB[0.138,0.188] g[8.444,10.836]
>86, dA[0.101,0.071] dB[0.067,0.126] g[4.650,6.266]
>87, dA[0.120,0.102] dB[0.164,0.111] g[6.239,8.541]
>88, dA[0.128,0.087] dB[0.077,0.116] g[7.724,9.846]
>89, dA[0.151,0.083] dB[0.118,0.280] g[6.209,8.655]
>90, dA[0.165,0.248] dB[0.109,0.145] g[4.438,5.239]
>91, dA[0.070,0.147] dB[0.217,0.054] g[5.720,6.184]
>92, dA[0.108,0.053] dB[0.171,0.088] g[6.425,7.830]
>93, dA[0.065,0.039] dB[0.100,0.094] g[5.619,8.005]
>94, dA[0.065,0.058] dB[0.097,0.135] g[5.452,7.080]
>95, dA[0.047,0.042] dB[0.144,0.053] g[6.193,7.277]
>96, dA[0.096,0.079] dB[0.069,0.321] g[7.204,9.345]
>97, dA[0.056,0.091] dB[0.079,0.050] g[6.439,8.043]
>98, dA[0.069,0.093] dB[0.168,0.052] g[5.240,6.685]
>99, dA[0.082,0.069] dB[0.050,0.166] g[4.501,6.306]
>100, dA[0.105,0.092] dB[0.068,0.289] g[5.415,7.883]
>101, dA[0.116,0.320] dB[0.213,0.094] g[5.574,6.916]
>102, dA[0.183,0.145] dB[0.207,0.037] g[5.361,6.728]
>103, dA[0.104,0.253] dB[0.098,0.164] g[4.027,4.639]
>104, dA[0.175,0.047] dB[0.100,0.086] g[5.784,7.050]
>105, dA[0.084,0.132] dB[0.079,0.232] g[7.096,9.222]
>106, dA[0.107,0.146] dB[0.120,0.099] g[6.542,8.403]
>107, dA[0.086,0.033] dB[0.200,0.284] g[6.384,8.521]
>108, dA[0.050,0.125] dB[0.160,0.032] g[4.551,5.024]
>109, dA[0.262,0.125] dB[0.131,0.313] g[3.354,4.612]
>110, dA[0.042,0.459] dB[0.231,0.081] g[7.617,9.141]
>111, dA[0.538,0.091] dB[0.121,0.039] g[5.852,6.753]
>112, dA[0.061,0.066] dB[0.079,0.227] g[6.991,9.500]
>113, dA[0.066,0.063] dB[0.058,0.137] g[5.298,6.332]
>114, dA[0.111,0.057] dB[0.126,0.186] g[5.676,7.498]
>115, dA[0.033,0.116] dB[0.270,0.089] g[5.300,5.505]
>116, dA[0.080,0.026] dB[0.129,0.106] g[5.037,6.883]
>117, dA[0.151,0.169] dB[0.063,0.229] g[3.530,4.098]
>118, dA[0.048,0.080] dB[0.058,0.208] g[6.997,8.532]
>119, dA[0.175,0.038] dB[0.107,0.165] g[5.879,7.899]
>120, dA[0.074,0.150] dB[0.092,0.154] g[7.269,8.964]
>121, dA[0.044,0.071] dB[0.218,0.134] g[5.265,6.882]
>122, dA[0.073,0.092] dB[0.128,0.094] g[3.614,4.134]
